To,From,Reason for Dishing,Date,Room
@heater,iviangita3204,!praise <@!659828514924658688> <@!379773201405706260> <@!765317807952494634> for the cadCAD community call where Sem presented the bonding curves they’re working on,Jun-04-2021,🙏praise
@JeffEmmett,iviangita3204,!praise <@!659828514924658688> <@!379773201405706260> <@!765317807952494634> for the cadCAD community call where Sem presented the bonding curves they’re working on,Jun-04-2021,🙏praise
@iviangita,metaverde2503,!praise <@!753834288511713303> for working so hard posting praise. We appreciate you.,Jun-04-2021,🙏praise
@griff,iviangita3204,!praise <@!395673197615513600> <@!480023322080444427> for being amazing,Jun-04-2021,🙏praise
@liviade,iviangita3204,!praise <@!395673197615513600> <@!480023322080444427> for being amazing,Jun-04-2021,🙏praise
@lEscanore,iviangita3204,!praise <@!587095069115285524> <@!88836610321289216> for all of their help in Comms,Jun-04-2021,🙏praise
@acidlazzer,iviangita3204,!praise <@!587095069115285524> <@!88836610321289216> for all of their help in Comms,Jun-04-2021,🙏praise
@Juankbell,iviangita3204,!praise <@!367484103089455108> <@!749990807238607020> for being able to help in another community,Jun-04-2021,🙏praise
@metaverde,iviangita3204,!praise <@!367484103089455108> <@!749990807238607020> for being able to help in another community,Jun-04-2021,🙏praise
@sem  🐝,iviangita3204,!praise <@!676517295643820032> <@!460149781562523650> <@!760182911991021650> <@!696688739879092284> <@!523401372188540939> <@!395673197615513600> for everything they’re doing in Commons Swarm,Jun-04-2021,🙏praise
@griff,iviangita3204,!praise <@!676517295643820032> <@!460149781562523650> <@!760182911991021650> <@!696688739879092284> <@!523401372188540939> <@!395673197615513600> for everything they’re doing in Commons Swarm,Jun-04-2021,🙏praise
@paulo.eth,iviangita3204,!praise <@!676517295643820032> <@!460149781562523650> <@!760182911991021650> <@!696688739879092284> <@!523401372188540939> <@!395673197615513600> for everything they’re doing in Commons Swarm,Jun-04-2021,🙏praise
@markop,iviangita3204,!praise <@!676517295643820032> <@!460149781562523650> <@!760182911991021650> <@!696688739879092284> <@!523401372188540939> <@!395673197615513600> for everything they’re doing in Commons Swarm,Jun-04-2021,🙏praise
@Vitor Marthendal,iviangita3204,!praise <@!676517295643820032> <@!460149781562523650> <@!760182911991021650> <@!696688739879092284> <@!523401372188540939> <@!395673197615513600> for everything they’re doing in Commons Swarm,Jun-04-2021,🙏praise
@fabiomendes,iviangita3204,!praise <@!676517295643820032> <@!460149781562523650> <@!760182911991021650> <@!696688739879092284> <@!523401372188540939> <@!395673197615513600> for everything they’re doing in Commons Swarm,Jun-04-2021,🙏praise
@JessicaZartler,iviangita3204,!praise <@!734527275630067746> <@!379773201405706260> for helping Heater onboard to cadCAD edu community,Jun-04-2021,🙏praise
@JeffEmmett,iviangita3204,!praise <@!734527275630067746> <@!379773201405706260> for helping Heater onboard to cadCAD edu community,Jun-04-2021,🙏praise
@blairv,iviangita3204,!praise <@!484862180370677761> for collaborating with Heater on the proposals,Jun-04-2021,🙏praise
@chuygarcia92,iviangita3204,!praise <@!727934296387616848> <@!367484103089455108> for helping to connect 1hive and Gravity,Jun-04-2021,🙏praise
@metaverde,iviangita3204,!praise <@!727934296387616848> <@!367484103089455108> for helping to connect 1hive and Gravity,Jun-04-2021,🙏praise
@natesuits,iviangita3204,!praise <@!417979381332443136> <@!480128711941685289> for collaborating with the Comms,Jun-04-2021,🙏praise
@Mount Manu,iviangita3204,!praise <@!417979381332443136> <@!480128711941685289> for collaborating with the Comms,Jun-04-2021,🙏praise
@JessicaZartler,iviangita3204,!praise <@!480023322080444427> <@!734527275630067746> <@!379773201405706260> for their talk on the polycentric governance in DAOs,Jun-04-2021,🙏praise
@liviade,iviangita3204,!praise <@!480023322080444427> <@!734527275630067746> <@!379773201405706260> for their talk on the polycentric governance in DAOs,Jun-04-2021,🙏praise
@JeffEmmett,iviangita3204,!praise <@!480023322080444427> <@!734527275630067746> <@!379773201405706260> for their talk on the polycentric governance in DAOs,Jun-04-2021,🙏praise
@Tam2140,iviangita3204,!praise <@!751417874886688798> for being the steward of stewards and for the enlightening weekly 1on1 sessions with Eduardo,Jun-04-2021,🙏praise
@durgadas,iviangita3204,!praise <@!249005209710362624> <@!789433609320529951> for collaborating a lot with Gravity,Jun-04-2021,🙏praise
@ddan,iviangita3204,!praise <@!249005209710362624> <@!789433609320529951> for collaborating a lot with Gravity,Jun-04-2021,🙏praise
@divine_comedian,iviangita3204,!praise <@!288019500132073472> for being proactive with the Gitbook and adding a lot of information there,Jun-04-2021,🙏praise
@Renzo D5,iviangita3204,!praise <@!379773201405706260> <@!734527275630067746> <@!689143973637259296> <@!480023322080444427> for the great session on the polycentric governance at the Metagov hackathon,Jun-04-2021,🙏praise
@JessicaZartler,iviangita3204,!praise <@!379773201405706260> <@!734527275630067746> <@!689143973637259296> <@!480023322080444427> for the great session on the polycentric governance at the Metagov hackathon,Jun-04-2021,🙏praise
@liviade,iviangita3204,!praise <@!379773201405706260> <@!734527275630067746> <@!689143973637259296> <@!480023322080444427> for the great session on the polycentric governance at the Metagov hackathon,Jun-04-2021,🙏praise
@JeffEmmett,iviangita3204,!praise <@!379773201405706260> <@!734527275630067746> <@!689143973637259296> <@!480023322080444427> for the great session on the polycentric governance at the Metagov hackathon,Jun-04-2021,🙏praise
@akrtws,iviangita3204,!praise <@!686955086941126683> for helping us promote the Polycentric Gov session on and being active there,Jun-04-2021,🙏praise
@Anna-Marie.Swan,iviangita3204,!praise <@!772107197240311848> <@!165910079416041473> for joining the Polycentric Gov session,Jun-04-2021,🙏praise
@PhilH,iviangita3204,!praise <@!772107197240311848> <@!165910079416041473> for joining the Polycentric Gov session,Jun-04-2021,🙏praise
@sem  🐝,iviangita3204,!praise <@!676517295643820032> for holding the Celeste flag and helping with the Sourcecred,Jun-04-2021,🙏praise
@mateodaza,iviangita3204,!praise <@!692168538181599232> <@!434632218246381569> for constantly holding the grounds in Sourcecred,Jun-04-2021,🙏praise
@santigs,iviangita3204,!praise <@!692168538181599232> <@!434632218246381569> for constantly holding the grounds in Sourcecred,Jun-04-2021,🙏praise
@heater,iviangita3204,!praise <@!765317807952494634> for coming in strong with so many ideas for TEC proposals and WGs,Jun-04-2021,🙏praise
@Suga,iviangita3204,!praise <@!786574925951008788> for taking this huge onboarding work and doing it with so much humor and care and for her all her work with the style guide,Jun-04-2021,🙏praise
@lEscanore,iviangita3204,!praise <@!727934296387616848> <@!88836610321289216> for really getting in the Comms WG and working really hard in there,Jun-04-2021,🙏praise
